Plant ,Phytochemical,PubChemCID,PMID,Other Ref
Acacia concinna,oxalic acid,971,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,nicotine,89594,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,kinmoonoside A,101088124,11141109,
Acacia concinna,kinmoonoside B,101088125,11141109,
Acacia concinna,kinmoonoside C,101088126,11141109,
Acacia concinna,tartaric acid,875,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,citric acid,311,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,succinic acid,1110,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,ascorbic acid,54670067,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,calycotomine,606033,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Acacia concinna,rutin,5280805,,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1099805
Albizia julibrissin,p-hydroxybenzaldehyde,126,25282893,
Albizia julibrissin,gallic acid,370,25282893,
Albizia julibrissin,palmitic acid,985,25282893,
Albizia julibrissin,vanillin,1183,25282893,
Albizia julibrissin,stearic acid,5281,25282893,
Albizia julibrissin,uridine,6029,25282893,
Albizia julibrissin,2-furoic acid,6919,25282893,
Albizia julibrissin,indole-3-carboxaldehyde,10256,25282893,
Albizia julibrissin,"2,3-dihydroxypropyl hexadecanoate",14900,25282893,
Albizia julibrissin,indole-3-carboxylic acid,69867,22223384,
Albizia julibrissin,3-ethoxy4-hydroxy-benzoic acid,95085,25282893,
Albizia julibrissin,"3,3'-dithiodipropanoic acid",95116,22223384,
Albizia julibrissin,5-(hydroxymethyl)-2-furaldehyde,237332,25282893,
Albizia julibrissin,isoliquiritigenin,638278,22223384,
Albizia julibrissin,quercetin,5280343,22223384,
Albizia julibrissin,formononetin,5280378,25282893,
Albizia julibrissin,apigenin,5280443,22223384,
Albizia julibrissin,luteolin,5280445,22223384,
Albizia julibrissin,linoleic acid,5280450,25282893,
Albizia julibrissin,quercitrin,5280459,22223384,
Albizia julibrissin,scopoletin,5280460,25282893,
Albizia julibrissin,vomifoliol,5280462,25282893,
Albizia julibrissin,chrysoeriol,5280666,22223384,
Albizia julibrissin,kaempferol,5280863,22223384,
Albizia julibrissin,sulfuretin,5281295,12877554,
Albizia julibrissin,amentoflavone,5281600,22223384,
Albizia julibrissin,isorhamnetin,5281654,22223384,
Albizia julibrissin,rhamnetin,5281691,22223384,
Albizia julibrissin,tricin,5281702,22223384,
Albizia julibrissin,"3',4',7-trihydroxyflavone",5322065,12877554,
Albizia julibrissin,"7,8-dimethylalloxazine",5326566,22223384,
Albizia julibrissin,julibroside I,5352113,9051910,
Albizia julibrissin,julibroside II,5352114,9051910,
Albizia julibrissin,julibroside J1,6449968,21530133,
Albizia julibrissin,prosapogenin 4,16681643,9051910,
Albizia julibrissin,prosapogenin 4,16681643,21530133,
Albizia julibrissin,julibroside III,20056072,9051910,
Albizia julibrissin,machaerinic acid lactone,21594250,15303140,
Albizia julibrissin,prosapogenin 3,21604181,9051910,
Albizia julibrissin,prosapogenin 3,21604181,21530133,
Albizia julibrissin,julibroside J30,44411377,16504508,
Albizia julibrissin,julibroside J31,44411378,16504508,
Albizia julibrissin,julibroside J29,44448243,16504508,
Albizia julibrissin,prosapogenin 1,44566619,9051910,
Albizia julibrissin,prosapogenin 11,44566624,9051910,
Albizia julibrissin,prosapogenin 11,44566624,21530133,
Albizia julibrissin,prosapogenin 12,44566625,9051910,
Albizia julibrissin,prosapogenin 12,44566625,21530133,
Albizia julibrissin,acacigenin B,101316870,15303140,
Albizia julibrissin,(-)-syringaresinol,11604108,12920839,
Albizia julibrissin,taxifolin,12309272,22223384,
Albizia julibrissin,(E)-p-coumaric acid,1549106,22223384,
Albizia julibrissin,prosapogenin 2,15719625,9051910,
Albizia julibrissin,lupeol,259846,22809287,
Albizia julibrissin,prosapogenin 10,44566623,9051910,
Albizia julibrissin,prosapogenin 10,44566623,21530133,
Albizia julibrissin,aurantiamide acetate,9832120,22809287,
Allium cepa,protocatechuic acid,72,16218662,
Allium cepa,propionaldehyde,527,23200369,
Allium cepa,benzyl-isothiocyanate,2346,6526069,
Allium cepa,hexanal,6184,23200369,
Allium cepa,ethyl caprylate,7799,23200369,
Allium cepa,1-propanethiol,7848,23200369,
Allium cepa,2-undecanone,8163,23374049,
Allium cepa,2-tridecanone,11622,23374049,
Allium cepa,dipropyl disulphide,12377,18098065,
Allium cepa,dipropyl disulfide,12377,23200369,
Allium cepa,methyl propyl disulfide,16592,23200369,
Allium cepa,dimethyl trisulfide,19310,23200369,
Allium cepa,2-pentylfuran,19602,23200369,
Allium cepa,dipropyl trisulfide,22383,23200369,
Allium cepa,S-methyl-L-cysteine,24417,21854077,
Allium cepa,methyl 2-propenyl disulfide,62434,23200369,
Allium cepa,"2,4,6-trihydroxybenzaldehyde",68099,24091739,
Allium cepa,"3,4-dimethyl thiophene",79089,23200369,
Allium cepa,glyoxalase I,100450,19734676,
Allium cepa,S-propyl-L-cysteine,101975,21854077,
Allium cepa,isopropyl propyl disulfide,118529,23200369,
Allium cepa,anthocyanin,145858,24091739,
Allium cepa,S-propylthio-L-cysteine,192762,21854077,
Allium cepa,thiopropanal-S-oxide,441491,12188005,
Allium cepa,S-methylthio-L-cysteine,3080775,21854077,
Allium cepa,quercetin,5280343,24091739,
Allium cepa,quercetin,5280343,15595664,
Allium cepa,quercetin,5280343,18486637,
Allium cepa,quercetin,5280343,18454541,
Allium cepa,quercetin,5280343,20492220,
Allium cepa,quercetin,5280343,21391789,
Allium cepa,quercetin,5280343,14730132,
Allium cepa,quercetin,5280343,19782226,
Allium cepa,quercetin,5280343,11811545,
Allium cepa,quercetin,5280343,16218662,
Allium cepa,quercetin-3-O-glucoside,5280804,21612277,
Allium cepa,quercetin 3-O-glucoside,5280804,21244009,
Allium cepa,isoquercetin,5280804,19019103,
Allium cepa,kaempferol,5280863,21612277,
Allium cepa,kaempferol,5280863,21391789,
Allium cepa,kaempferol,5280863,11372441,
Allium cepa,kaempferol,5280863,19782226,
Allium cepa,kaempferol,5280863,19019103,
Allium cepa,isorhamnetin,5281654,19782226,
Allium cepa,myricetin,5281672,21391789,
Allium cepa,myricetin,5281672,19782226,
Allium cepa,quercetin diglucoside,5282166,19019103,
Allium cepa,delphinidin 3-glucosylglucoside,5316496,11902931,
Allium cepa,isorhamnetin-3-O-glucoside,5318645,21612277,
Allium cepa,methyl propyl trisulfide,5319765,23200369,
Allium cepa,trans-propenyl propyl disulfide,5320722,23200369,
Allium cepa,"quercetin-3,4'-O-diglucoside",5320835,21612277,
Allium cepa,"quercetin 3,4'-O-diglucoside",5320835,21244009,
Allium cepa,3-mercapto-2-methylpentan-1-ol,6430888,10691650,
Allium cepa,cyanidin-3-laminaribioside,44256721,24091739,
Allium cepa,cyanidin 3-laminaribioside,44256721,7765255,
Allium cepa,cyanidin 3-(6''-malonylglucoside),44256740,11902931,
Allium cepa,"quercetin 3,7,4'-triglucoside",44259184,15796618,
Allium cepa,"quercetin 7,4'-diglucoside",44259248,15796618,
Allium cepa,isorhamnetin 4'-glucoside,44259381,15796618,
Allium cepa,S-(1-propenylthio)-L-cysteine,58219330,21854077,
Allium cepa,(+)-trans-isoalliin,90657185,25187757,
Allium cepa,2-methyl 2-pentenal,12177,23200369,
Allium cepa,quercetin-4'-glucoside,12442954,12405795,
Allium cepa,quercetin 4'-glucoside,12442954,11902931,
Allium cepa,quercetin-4'-glucoside,12442954,20492220,
Allium cepa,quercetin-4'-glucoside,12442954,15833931,
Allium cepa,quercetin 4'-glucoside,12442954,15796618,
Allium cepa,S-methyl-L-cysteine sulfoxide,182092,12137458,
Allium cepa,quercetin-3-glucoside,25203368,24091739,
Allium cepa,quercetin-3-glucoside,25203368,20492220,
Allium cepa,quercetin 3-glucoside,25203368,15796618,
Allium cepa,"quercetin 3,4'-diglucoside",44259154,15796618,
Allium cepa,delphinidin-3-glucoside,443650,24091739,
Allium cepa,delphinidin 3-glucoside,443650,11902931,
Allium cepa,2-methyl 2-butenal,5321950,23200369,
Allium cepa,quercetin-4'-O-glucoside,54758556,21612277,
Allium cepa,quercetin 4'-O-glucoside,54758556,21244009,
Allium cepa,propyl thioacetate,57360392,23200369,
Allium cepa,methyl 1-propenyl disulfide,6164465,23200369,
Allium cepa,S-propyl-L-cysteine sulfoxide,91819955,12137458,
Allium cepa,cyanidin-3-glucoside,92131208,24091739,
Allium cepa,cyanidin 3-glucoside,92131208,7765255,
Allium sativum,protocatechuic acid,72,18494496,
Allium sativum,p-hydroxybenzoic acid,135,18494496,
Allium sativum,2-propanone,180,17262412,
Allium sativum,carbon dioxide,280,17262412,
Allium sativum,ethanol,702,17262412,
Allium sativum,pyridoxal,1050,22481897,
Allium sativum,pyridoxal 5'-phosphate,1051,22481897,
Allium sativum,pyridoxamine,1052,22481897,
Allium sativum,pyridoxamine 5'-phosphate,1053,22481897,
Allium sativum,pyridoxine,1054,22481897,
Allium sativum,dimethyl sulfide,1068,17262412,
Allium sativum,sarcosine,1088,16277408,
Allium sativum,2-propanol,3776,17262412,
Allium sativum,hydroxyproline,5810,16413559,
Allium sativum,tetraethylammonium chloride,5946,16435092,
Allium sativum,2-propen-1-ol,7858,17262412,
Allium sativum,dipropyl sulfide,8118,10757551,
Allium sativum,octadecanol,8221,16223688,
Allium sativum,vanillic acid,8468,18494496,
Allium sativum,"1,3-dithiane",10451,23865201,
Allium sativum,?-aminobutyric acid,10932,16277408,
Allium sativum,diallyl sulfide,11617,12230020,
Allium sativum,diallyl sulfide,11617,23865201,
Allium sativum,diallyl sulfide,11617,19097026,
Allium sativum,diallyl sulfide,11617,24489685,
Allium sativum,diallyl sulfide,11617,9174913,
Allium sativum,diallyl sulphide,11617,24757666,
Allium sativum,diallyl sulphide,11617,15862674,
Allium sativum,diallyl sulfide,11617,17262412,
Allium sativum,diallyl sulfide,11617,12358493,
Allium sativum,diallyl sulfide,11617,24096643,
Allium sativum,diallyl sulfide,11617,24237225,
Allium sativum,diallyl sulphide,11617,22497489,
Allium sativum,diallyl sulfide,11617,14667466,
Allium sativum,diallyl monosulfide,11617,16219763,
Allium sativum,diallyl sulfide,11617,15161248,
Allium sativum,diallyl sulfide,11617,16337756,
Allium sativum,diallyl sulfide,11617,22500213,
Allium sativum,diallyl sulfide,11617,10234471,
Allium sativum,allyl sulfide,11617,12923610,
Allium sativum,diallyl sulfide,11617,19555733,
Allium sativum,diallyl sulfide,11617,12784861,
Allium sativum,diallyl sulfide,11617,16223688,
Allium sativum,diallyl sulphide,11617,24679771,
Allium sativum,diallyl sulfide,11617,10757551,
Allium sativum,dimethylselenide,11648,16480995,
Allium sativum,dimethyl disulfide,12232,17262412,
Allium sativum,dimethyl disulfide,12232,24237225,
Allium sativum,dimethyl disulfide,12232,22497489,
Allium sativum,dimethyl disulfide,12232,16223688,
Allium sativum,dimethyl disulfide,12232,15949130,
Allium sativum,ethyl vinyl sulfide,12320,16223688,
Allium sativum,di-n-propyl disulfide,12377,15949130,
Allium sativum,dipropyl disulfide,12377,10757551,
Allium sativum,2-propene-1-thiol,13367,17262412,
Allium sativum,allyl mercaptan,13367,20976254,
Allium sativum,allyl mercaptan,13367,16484558,
Allium sativum,2-ethyl thiophene,13388,16223688,
Allium sativum,selenomethionine,15103,10888499,
Allium sativum,selenomethionine,15103,19159814,
Allium sativum,selenomethionine,15103,19053158,
Allium sativum,selenocystine,15104,10888499,
Allium sativum,selenocystine,15104,19159814,
Allium sativum,diallyl trisulfide,16315,24379960,
Allium sativum,diallyl trisulfide,16315,23865201,
Allium sativum,diallyl trisulfide,16315,19097026,
Allium sativum,diallyl trisulfide,16315,22919419,
Allium sativum,diallyl trisulfide,16315,21876795,
Allium sativum,diallyl trisulfide,16315,17262412,
Allium sativum,diallyl trisulfide,16315,15862674,
Allium sativum,diallyl trisulfide,16315,24096643,
Allium sativum,diallyl trisulfide,16315,18515280,
Allium sativum,diallyl trisulfide,16315,16350805,
Allium sativum,diallyl trisulfide,16315,24237225,
Allium sativum,diallyl trisulfide,16315,24862582,
Allium sativum,diallyl trisulfide,16315,22497489,
Allium sativum,diallyl trisulfide,16315,16219763,
Allium sativum,diallyl trisulfide,16315,21845941,
Allium sativum,diallyl trisulfide,16315,16223688,
Allium sativum,diallyl trisulfide,16315,22500213,
Allium sativum,trisulfide-di-2-propenyl,16315,17017158,
Allium sativum,diallyl trisulfide,16315,22467307,
Allium sativum,diallyl trisulfide,16315,12923610,
Allium sativum,diallyl trisulfide,16315,16484558,
Allium sativum,diallyl trisulfide,16315,17711740,
Allium sativum,diallyl trisulfide,16315,21499478,
Allium sativum,diallyl trisulphide,16315,24679771,
Allium sativum,diallyl trisulfide,16315,10757551,
Allium sativum,diallyl disulfide,16590,12784861,
Allium sativum,diallyl disulfide,16590,12230020,
Allium sativum,diallyl disulphide,16590,24379960,
Allium sativum,diallyl disulfide,16590,23865201,
Allium sativum,diallyl disulfide,16590,19097026,
Allium sativum,allyl disulfide,16590,15886420,
Allium sativum,diallyl disulfide,16590,24489685,
Allium sativum,diallyl disulfide,16590,21876795,
Allium sativum,diallyl disulfide,16590,15833378,
Allium sativum,diallyl disulfide,16590,15862674,
Allium sativum,diallyl disulfide,16590,17262412,
Allium sativum,diallyl disulfide,16590,12358493,
Allium sativum,diallyl disulfide,16590,24096643,
Allium sativum,diallyl disulfide,16590,24237225,
Allium sativum,diallyl disulphide,16590,12593760,
Allium sativum,diallyl disulfide,16590,20976254,
Allium sativum,diallyl disulfide,16590,24862582,
Allium sativum,diallyl disulfide,16590,22497489,
Allium sativum,diallyl disulfide,16590,16219763,
Allium sativum,diallyl disulfide,16590,15161248,
Allium sativum,diallyl disulfide,16590,21845941,
Allium sativum,diallyl disulfide,16590,22500213,
Allium sativum,diallyl disulfide,16590,10234471,
Allium sativum,diallyl disulfide,16590,17017158,
Allium sativum,diallyl disulfide,16590,14633659,
Allium sativum,diallyl disulfide,16590,12923610,
Allium sativum,diallyl disulfide,16590,16484558,
Allium sativum,allyl disulfide,16590,23451371,
Allium sativum,diallyl disulfide,16590,16223688,
Allium sativum,diallyl disulfide,16590,21499478,
Allium sativum,diallyl disulphide,16590,24679771,
Allium sativum,diallyl disulfide,16590,10757551,
Allium sativum,methyl propyl disulfide,16592,16223688,
Allium sativum,3-methylthio propanal,18635,16223688,
Allium sativum,dimethyl trisulfide,19310,19097026,
Allium sativum,dimethyl trisulfide,19310,17262412,
Allium sativum,dimethyl trisulfide,19310,24237225,
Allium sativum,dimethyl trisulfide,19310,22497489,
Allium sativum,dimethyl trisulfide,19310,16223688,
Allium sativum,heptadecene,23217,16223688,
Allium sativum,S-methyl-L-cysteine,24417,17262437,
Allium sativum,pentadecene,25913,16223688,
Allium sativum,selenate,26473,10888499,
Allium sativum,selenate,26473,16480995,
Allium sativum,allyl methyl trisulfide,61926,23865201,
Allium sativum,methyl allyl trisulfide,61926,19097026,
Allium sativum,allyl methyl trisulfide,61926,17262412,
Allium sativum,allyl methyl trisulfide,61926,24237225,
Allium sativum,methyl allyl trisulfide,61926,22497489,
Allium sativum,methyl allyl trisulfide,61926,21845941,
Allium sativum,methyl allyl trisulfide,61926,16223688,
Allium sativum,allyl methyl disulfide,62434,23865201,
Allium sativum,methyl allyl disulfide,62434,19097026,
Allium sativum,allyl methyl disulfide,62434,17262412,
Allium sativum,allyl methyl disulfide,62434,24237225,
Allium sativum,methyl allyl disulfide,62434,22497489,
Allium sativum,allicin,65036,17221396,
Allium sativum,allicin,65036,17221429,
Allium sativum,allicin,65036,16731642,
Allium sativum,allicin,65036,17252337,
Allium sativum,allicin,65036,24379960,
Allium sativum,diallyl thiosulfinate,65036,14763870,
Allium sativum,allicin,65036,14763870,
Allium sativum,allicin,65036,8594422,
Allium sativum,allicin,65036,25205359,
Allium sativum,allicin,65036,25097657,
Allium sativum,allicin,65036,21876795,
Allium sativum,allicin,65036,2497497,
Allium sativum,allicin,65036,24716147,
Allium sativum,allicin,65036,22928080,
Allium sativum,diallyl thiosulfinate,65036,15862674,
Allium sativum,allicin,65036,15862674,
Allium sativum,diallyl thiosulfinate,65036,12703902,
Allium sativum,allicin,65036,17312965,
Allium sativum,allicin,65036,18419827,
Allium sativum,diallyl thiosulfinate,65036,24237225,
Allium sativum,allicin,65036,24237225,
Allium sativum,allicin,65036,12703902,
Allium sativum,2-propene-1-sulfinothioic acid S-2-propenyl ester,65036,8200919,
Allium sativum,allicin,65036,8200919,
Allium sativum,allicin,65036,24862582,
Allium sativum,allicin,65036,19281347,
Allium sativum,allicin,65036,19350826,
Allium sativum,allicin,65036,3798421,
Allium sativum,2-propene-1-sulfinothioic acid S-2-propenyl ester,65036,14969516,
Allium sativum,allicin,65036,14969516,
Allium sativum,diallylthiosulfinate,65036,11118647,
Allium sativum,allicin,65036,11118647,
Allium sativum,3-prop-2-enylsulfinylsulfanylprop-1-ene,65036,23416182,
Allium sativum,allicin,65036,23416182,
Allium sativum,diallylthiosulfinate,65036,14633659,
Allium sativum,allicin,65036,14633659,
Allium sativum,allicin,65036,25438250,
Allium sativum,allicin,65036,17226157,
Allium sativum,allicin,65036,22868146,
Allium sativum,allicin,65036,17262433,
Allium sativum,allicin,65036,25174844,
Allium sativum,allicin,65036,25506477,
Allium sativum,allicin,65036,1775580,
Allium sativum,allicin,65036,15949130,
Allium sativum,diallyl thiosulfinate,65036,21499478,
Allium sativum,allicin,65036,21499478,
Allium sativum,allicin,65036,24991105,
Allium sativum,allicin,65036,24987429,
Allium sativum,diallyl thiosulfinate,65036,24679771,
Allium sativum,allicin,65036,24679771,
Allium sativum,allicin,65036,8053972,
Allium sativum,allyl methyl sulfide,66282,17262412,
Allium sativum,allyl methyl sulfide,66282,24237225,
Allium sativum,allyl methylsulfide,66282,16484558,
Allium sativum,methyl allyl sulfide,66282,10757551,
Allium sativum,diallyl tetrasulfide,75552,23865201,
Allium sativum,diallyl tetrasulfide,75552,19097026,
Allium sativum,diallyl tetrasulfide,75552,24096643,
Allium sativum,diallyl tetrasulfide,75552,16223688,
Allium sativum,di-iso-propyl disulfide,77932,15949130,
Allium sativum,"1,2-dithiolane",79045,23865201,
Allium sativum,"1,2-dithiacyclopentane",79045,16223688,
Allium sativum,"1,4-dimethyl tetrasulfide",79828,19097026,
Allium sativum,"1,4-dimethyl tetrasulfide",79828,16223688,
Allium sativum,allixin,86374,11911198,
Allium sativum,allixin,86374,21499478,
Allium sativum,alliin,87310,17221429,
Allium sativum,alliin,87310,17252337,
Allium sativum,alliin,87310,17253319,
Allium sativum,alliin,87310,16804741,
Allium sativum,alliin,87310,19733357,
Allium sativum,alliin,87310,16233877,
Allium sativum,alliin,87310,15862674,
Allium sativum,alliin,87310,12703902,
Allium sativum,alliin,87310,24237225,
Allium sativum,alliin,87310,10588342,
Allium sativum,alliin,87310,15652575,
Allium sativum,(-)-alliin,87310,23158347,
Allium sativum,(+)-alliin,87310,23158347,
Allium sativum,alliin,87310,24657412,
Allium sativum,alliin,87310,16506797,
Allium sativum,alliin,87310,18952220,
Allium sativum,alliin,87310,17262437,
Allium sativum,alliin,87310,16484551,
Allium sativum,alliin,87310,3235614,
Allium sativum,alliin,87310,22649639,
Allium sativum,alliin,87310,17252411,
Allium sativum,alliin,87310,16484558,
Allium sativum,alliin,87310,25506477,
Allium sativum,alliin,87310,18581860,
Allium sativum,alliin,87310,16386011,
Allium sativum,alliin,87310,20015835,
Allium sativum,alliin,87310,16787038,
Allium sativum,alliin,87310,21499478,
Allium sativum,alliin,87310,24991105,
Allium sativum,alliin,87310,16277408,
Allium sativum,alliin,87310,8053972,
Allium sativum,alliin,87310,10757551,
Allium sativum,S-ethyl-L-cysteine,92185,17262437,
Allium sativum,dimethyl thiosulfinate,95200,14763870,
Allium sativum,S-methyl methanethiosulfinate,95200,17017158,
Allium sativum,dimethyl thiosulfinate,95200,17226157,
Allium sativum,selenocystathionine,98223,10888499,
Allium sativum,allo-isoleucine,99288,16277408,
Allium sativum,S-propyl-L-cysteine,101975,17262437,
Allium sativum,dipropyltetrasulfide,104285,24286210,
Allium sativum,S-allylcysteine sulfoxide,121922,17252337,
Allium sativum,S-allylcysteine sulfoxide,121922,25506477,
Allium sativum,S-allylcysteine sulfoxide,121922,21499478,
Allium sativum,S-propylcysteine,125198,12042421,
Allium sativum,S-propylcysteine,125198,15161248,
Allium sativum,S-propylcysteine,125198,16484558,
Allium sativum,S-propylcysteine,125198,10757551,
Allium sativum,"2-vinyl-[4H]-1,3-dithiin",133337,19097026,
Allium sativum,"2-vinyl-[4H]-1,3-dithiin",133337,15862674,
Allium sativum,"2-vinyl-4H-1,3-dithiin",133337,22497489,
Allium sativum,"2-vinyl-[4H]-1,3-dithiin",133337,16223688,
Allium sativum,"2-vinyl-4H-1,3-dithiin",133337,17017158,
Allium sativum,"2-vinyl-4H-1,3-dithiin",133337,24679771,
Allium sativum,selenoethionine,145924,19053158,
Allium sativum,Se-methyl-L-selenocysteine,147004,16233877,
Allium sativum,"3-vinyl-3,4-dihydro- 1,2-dithiin",150636,24237225,
Allium sativum,"3-vinyl-4H-1,2-dithiin",150636,22497489,
Allium sativum,"3-vinyl-4H-1,2-dithiin",150636,17017158,
Allium sativum,"3-vinyl-4H-1,2-dithiin",150636,24679771,
Allium sativum,methylseleninic acid,161597,19159814,
Allium sativum,methaneseleninic acid,161597,16480995,
Allium sativum,D-glucan,439262,902266,
Allium sativum,ferulic acid,445858,18494496,
Allium sativum,D-galacturonan,445929,902266,
Allium sativum,2-vinyl thiophene,519642,16223688,
Allium sativum,"(-)-(2R,3S)-dihydrodehydrodiconiferyl alcohol",5274623,23448127,
Allium sativum,quercetin,5280343,18494496,
Allium sativum,kaempferol,5280863,18494496,
Allium sativum,methyl allyl thiosulfinate,5319504,17226157,
Allium sativum,E-ajoene,5386591,17520814,
Allium sativum,E-ajoene,5386591,25473520,
Allium sativum,trans-ajoene,5386591,24679771,
Allium sativum,Z-ajoene,9881148,17520814,
Allium sativum,z-ajoene,9881148,18515280,
Allium sativum,Z-ajoene,9881148,25473520,
Allium sativum,S-allyl-mercapturic acid,10465488,23237668,
Allium sativum,dithiin,12044565,24991105,
Allium sativum,eruboside B,13787750,15493662,
Allium sativum,S-butyl-L-cysteine,13817366,17262437,
Allium sativum,allyl methyl thiosulfinate,20216915,17226157,
Allium sativum,allylcysteine,23437571,16233877,
Allium sativum,cysteine sulfoxide,49866839,12706595,
Allium sativum,methiin,90659041,19733357,
Allium sativum,methiin,90659041,16233877,
Allium sativum,(+)-methiin,90659041,23158347,
Allium sativum,(-)-methiin,90659041,23158347,
Allium sativum,methiin,90659041,18952220,
Allium sativum,methiin,90659041,16506797,
Allium sativum,methiin,90659041,15652575,
Allium sativum,methiin,90659041,16484551,
Allium sativum,methiin,90659041,16787038,
Allium sativum,methiin,90659041,24991105,
Allium sativum,propiin,91819955,19733357,
Allium sativum,propiin,91819955,18952220,
Allium sativum,propiin,91819955,15652575,
Allium sativum,vitamin B6,104817,25489409,
Allium sativum,vitamin B6,104817,22481897,
Allium sativum,L-selenomethionine,105024,16233877,
Allium sativum,Se-methylselenocysteine,114835,10888499,
Allium sativum,Se-methylselenocysteine,114835,16435092,
Allium sativum,Se-methylselenocysteine,114835,19159814,
Allium sativum,Se-methyl selenocysteine,114835,16480995,
Allium sativum,Se-methylselenocysteine,114835,19053158,
Allium sativum,Se-methylselenocysteine,114835,16168115,
Allium sativum,ethiin,146416,19733357,
Allium sativum,ethiin,146416,18952220,
Allium sativum,(+)-S-ethyl-L-cysteine sulfoxide,146416,17262437,
Allium sativum,sinapic acid,1549091,18494496,
Allium sativum,coniferyl alcohol,1549095,23448127,
Allium sativum,p-coumaric acid,1549106,18494496,
Allium sativum,acetic acid,176,17262412,
Allium sativum,acetaldehyde,177,17262412,
Allium sativum,(+)-S-methyl-L-cysteine sulfoxide,182092,17262437,
Allium sativum,(+)-S-methyl-L-cysteine sulfoxide,182092,16787038,
Allium sativum,(+)-S-methyl-L-cysteine sulfoxide,182092,24991105,
Allium sativum,(+)-S-methyl-L-cysteine sulfoxide,182092,16506797,
Allium sativum,S-methylcysteine,24417,15161248,
Allium sativum,S-methylcysteine,24417,16484558,
Allium sativum,S-methylcysteine,24417,10757551,
Allium sativum,pyridoxine 5'-phosphate,24794348,22481897,
Allium sativum,S-ethylcysteine,25203803,12784861,
Allium sativum,S-ethylcysteine,25203803,12042421,
Allium sativum,S-ethyl cysteine,25203803,12358493,
Allium sativum,S-ethylcysteine,25203803,15161248,
Allium sativum,S-ethylcysteine,25203803,16484558,
Allium sativum,S-ethylcysteine,25203803,10757551,
Allium sativum,methylcysteine,29145,16233877,
Allium sativum,glutamic acid,33032,16413559,
Allium sativum,glutamic acid,33032,16277408,
Allium sativum,aspartic acid,424,16413559,
Allium sativum,aspartic acid,424,16277408,
Allium sativum,ornithine,449468,16277408,
Allium sativum,alanine,4580,16413559,
Allium sativum,alanine,4580,16277408,
Allium sativum,"3,5-diethyl 1,2,4-trithiolane",520895,16223688,
Allium sativum,ethyl linoleate,5282184,24508058,
Allium sativum,ajoene,5386591,17221396,
Allium sativum,ajoene,5386591,24379960,
Allium sativum,ajoene,5386591,21876795,
Allium sativum,ajoene,5386591,24015071,
Allium sativum,ajoene,5386591,23990741,
Allium sativum,ajoene,5386591,8988645,
Allium sativum,ajoene,5386591,24049481,
Allium sativum,ajoene,5386591,25423012,
Allium sativum,ajoene,5386591,25250054,
Allium sativum,ajoene,5386591,12642382,
Allium sativum,ajoene,5386591,1775580,
Allium sativum,ajoene,5386591,24991105,
Allium sativum,(E)-ajoene,5386591,24679771,
Allium sativum,(Z)-ajoene,5386591,24679771,
Allium sativum,threonine,5460797,16277408,
Allium sativum,cystine,595,16233877,
Allium sativum,cystine,595,16277408,
Allium sativum,serine,5951,16413559,
Allium sativum,serine,5951,16277408,
Allium sativum,glutamine,5961,16277408,
Allium sativum,tyrosine,6057,16413559,
Allium sativum,tyrosine,6057,16277408,
Allium sativum,methionine,6137,16413559,
Allium sativum,methionine,6137,16233877,
Allium sativum,methionine,6137,16277408,
Allium sativum,proline,614,16413559,
Allium sativum,proline,614,16277408,
Allium sativum,histidine,6274,16277408,
Allium sativum,valine,6287,16413559,
Allium sativum,valine,6287,16277408,
Allium sativum,tryptophan,6305,16277408,
Allium sativum,isoleucine,6306,16413559,
Allium sativum,isoleucine,6306,16277408,
Allium sativum,lysine,641599,16413559,
Allium sativum,lysine,641599,16277408,
Allium sativum,caffeic acid,689043,18494496,
Allium sativum,asparagine,6992089,16277408,
Allium sativum,leucine,7045798,16413559,
Allium sativum,leucine,7045798,16277408,
Allium sativum,glycine,750,16413559,
Allium sativum,glycine,750,16277408,
Allium sativum,phenylalanine,817923,16413559,
Allium sativum,phenylalanine,817923,16277408,
Allium sativum,S-methylcysteine sulfoxide,82142,17252337,
Allium sativum,4-hydroxyproline,825,16277408,
Allium sativum,cycloalliin,91808874,19733357,
Allium sativum,cycloalliin,91808874,23158347,
Allium sativum,cycloalliin,91808874,17177506,
Allium sativum,cycloalliin,91808874,16506797,
Allium sativum,cycloalliin,91808874,16484551,
Allium sativum,cycloalliin,91808874,16787038,
Allium sativum,cycloalliin,91808874,24991105,
Allium sativum,(+)-S-propyl-L-cysteine sulfoxide,91819955,17262437,
Allium sativum,butiin,91820237,18952220,
Allium sativum,N-acetyl cysteine,94364,12358493,
Allium sativum,N-acetylcysteine,94364,12784861,
Allium sativum,S-allyl-L-cysteine sulfoxide,9576089,15862674,
